anio,muertes_diabetes,fuente,insulina_usd_total
2013,4695,INEC Anuario,
2014,4700,MSP/INEC,
2015,4800,MSP/INEC,2479012.0
2016,4850,MSP/INEC,2325471.0
2017,4895,MSP oficial,2669758.0
2018,4900,INEC/STEPS,2237549.0
2019,4940,INEC Defunciones Generales (microdato),2833703.0
2020,6129,INEC Defunciones Generales (microdato),1717535.0
2021,4089,INEC Defunciones Generales (microdato),3067527.0
2022,3743,INEC Defunciones Generales (microdato),3042149.0
2023,3290,INEC Defunciones Generales (microdato),5465976.0
2024,3517,INEC Defunciones Generales (microdato),3691310.0
