provincia,anio,muertes_diabetes
AZUAY,2019,209
AZUAY,2020,182
AZUAY,2021,177
AZUAY,2022,164
AZUAY,2023,142
AZUAY,2024,158
BOLIVAR,2019,42
CARCHI,2019,42
CARCHI,2020,47
CARCHI,2021,43
CARCHI,2022,38
CARCHI,2023,39
CARCHI,2024,44
CAÑAR,2019,81
CHIMBORAZO,2019,72
CHIMBORAZO,2020,132
CHIMBORAZO,2021,120
CHIMBORAZO,2022,87
CHIMBORAZO,2023,93
CHIMBORAZO,2024,90
COTOPAXI,2019,77
COTOPAXI,2020,81
COTOPAXI,2021,101
COTOPAXI,2022,72
COTOPAXI,2023,79
COTOPAXI,2024,77
EL ORO,2019,240
EL ORO,2020,304
EL ORO,2021,284
EL ORO,2022,207
EL ORO,2023,175
EL ORO,2024,210
ESMERALDAS,2019,146
ESMERALDAS,2020,190
ESMERALDAS,2021,183
ESMERALDAS,2022,167
ESMERALDAS,2023,172
ESMERALDAS,2024,175
GALAPAGOS,2019,2
GALAPAGOS,2020,1
GALAPAGOS,2021,2
GALAPAGOS,2022,3
GALAPAGOS,2023,3
GALAPAGOS,2024,1
GUAYAS,2019,1829
GUAYAS,2020,3654
GUAYAS,2021,1917
GUAYAS,2022,1891
GUAYAS,2023,1618
GUAYAS,2024,1646
IMBABURA,2019,90
IMBABURA,2020,113
IMBABURA,2021,105
IMBABURA,2022,82
IMBABURA,2023,86
IMBABURA,2024,95
LOJA,2019,105
LOJA,2020,129
LOJA,2021,143
LOJA,2022,145
LOJA,2023,128
LOJA,2024,160
LOS RIOS,2019,361
MANABI,2019,630
MORONA SANTIAGO,2019,22
MORONA SANTIAGO,2020,33
MORONA SANTIAGO,2021,24
MORONA SANTIAGO,2022,26
MORONA SANTIAGO,2023,35
MORONA SANTIAGO,2024,33
NAPO,2019,11
NAPO,2020,13
NAPO,2021,13
NAPO,2022,13
NAPO,2023,13
NAPO,2024,14
ORELLANA,2019,14
ORELLANA,2020,9
ORELLANA,2021,12
ORELLANA,2022,20
ORELLANA,2023,17
ORELLANA,2024,26
PASTAZA,2019,7
PASTAZA,2020,9
PASTAZA,2021,20
PASTAZA,2022,13
PASTAZA,2023,25
PASTAZA,2024,14
PICHINCHA,2019,480
PICHINCHA,2020,695
PICHINCHA,2021,578
PICHINCHA,2022,479
PICHINCHA,2023,351
PICHINCHA,2024,395
SANTA ELENA,2019,163
SANTA ELENA,2020,382
SANTA ELENA,2021,217
SANTA ELENA,2022,199
SANTA ELENA,2023,179
SANTA ELENA,2024,242
SANTO DOMINGO DE LOS TSACHILAS,2019,158
SUCUMBIOS,2019,26
TUNGURAHUA,2019,120
TUNGURAHUA,2020,150
TUNGURAHUA,2021,129
TUNGURAHUA,2022,119
TUNGURAHUA,2023,123
TUNGURAHUA,2024,115
ZAMORA CHINCHIPE,2019,13
ZAMORA CHINCHIPE,2020,5
ZAMORA CHINCHIPE,2021,21
ZAMORA CHINCHIPE,2022,18
ZAMORA CHINCHIPE,2023,12
ZAMORA CHINCHIPE,2024,22
