prov,provincia,n_adultos_rurales,prev_obesidad,prev_sobrepeso_obesidad
13,MANABI,1376,27.2,66.4
9,GUAYAS,879,26.7,68.7
4,CARCHI,935,25.3,69.2
20,GALAPAGOS,1590,25.0,69.5
7,EL ORO,972,24.7,67.3
17,PICHINCHA,398,24.6,68.8
8,ESMERALDAS,999,24.4,62.8
21,SUCUMBIOS,1349,22.6,63.9
23,SANTO DOMINGO DE LOS TSACHILAS,793,22.5,61.6
19,ZAMORA CHINCHIPE,1259,22.1,67.5
1,AZUAY,534,21.9,65.5
12,LOS RIOS,1660,20.9,59.4
18,TUNGURAHUA,592,18.8,59.1
3,CAÑAR,979,18.6,62.3
10,IMBABURA,632,18.3,61.4
11,LOJA,992,17.6,60.9
14,MORONA SANTIAGO,1268,15.5,60.0
24,SANTA ELENA,174,15.4,54.2
2,BOLIVAR,1495,14.9,56.9
5,CHIMBORAZO,1830,14.9,50.4
6,COTOPAXI,1566,13.7,54.0
22,ORELLANA,1423,12.7,48.6
16,PASTAZA,1368,11.2,53.4
15,NAPO,2383,10.4,46.8
