provincia,contratos_total,monto_total_usd,anios_con_datos
GUAYAS,1029,8812296.99,10
PICHINCHA,835,6560828.02,10
MANABI,612,5208955.59,10
LOS RIOS,209,1088764.26,10
LOJA,367,1038941.13,10
AZUAY,333,985167.75,10
EL ORO,337,843888.67,10
SANTO DOMINGO DE LOS TSACHILAS,138,713177.21,10
IMBABURA,202,638891.55,10
CHIMBORAZO,168,612236.38,10
SANTA ELENA,111,591322.22,10
TUNGURAHUA,79,544283.47,10
ESMERALDAS,167,429380.81,10
COTOPAXI,125,298316.78,10
NAPO,104,257148.79,10
CANAR,204,194442.36,10
CARCHI,141,134860.35,10
MORONA SANTIAGO,198,118744.93,10
PASTAZA,75,110188.83,10
BOLIVAR,95,106790.15,10
SUCUMBIOS,86,89611.11,10
ORELLANA,65,69875.27,9
ZAMORA CHINCHIPE,124,62591.15,10
GALAPAGOS,67,19285.74,8
