provincia,pob_total,pct_nbi,pct_indigena,tasa_mortalidad_100k,mortalidad_esperada,residuo,insulina_usd_per_capita,cuadrante,desviacion
GALAPAGOS,28442.0,31.4,9.3,42.2,135.3,-93.1,0.42,baja_presion,positiva
CANAR,226989.0,39.2,14.7,35.7,122.3,-86.6,0.59,baja_presion,positiva
SANTO DOMINGO DE LOS TSACHILAS,491394.0,46.7,1.4,32.2,109.7,-77.5,1.44,sobrecobertura,positiva
SUCUMBIOS,197969.0,59.2,16.3,13.1,88.8,-75.7,0.39,baja_presion,positiva
BOLIVAR,198533.0,58.6,29.5,21.2,89.8,-68.6,0.34,baja_presion,positiva
PICHINCHA,3083707.0,15.9,6.2,96.6,161.2,-64.6,1.91,alta_cobertura,positiva
MANABI,1589104.0,60.1,0.2,39.6,87.3,-47.7,2.34,sobrecobertura,positiva
LOS RIOS,897111.0,61.4,0.7,40.2,85.2,-45.0,1.43,sobrecobertura,positiva
NAPO,131082.0,61.7,65.0,58.7,84.7,-26.0,1.61,sobrecobertura,esperada
ZAMORA CHINCHIPE,110440.0,50.1,18.9,82.4,104.0,-21.6,0.39,baja_presion,esperada
PASTAZA,111532.0,52.9,50.8,78.9,99.4,-20.5,0.76,baja_presion,esperada
ORELLANA,181995.0,68.7,37.3,53.8,72.9,-19.1,0.23,baja_presion,esperada
AZUAY,799010.0,25.7,2.0,129.2,144.8,-15.6,0.83,alta_cobertura,esperada
IMBABURA,468517.0,32.7,28.0,121.9,133.1,-11.2,1.03,alta_cobertura,esperada
COTOPAXI,465599.0,48.6,23.7,104.6,106.6,-2.0,0.75,brecha_critica,esperada
TUNGURAHUA,560955.0,31.6,13.5,134.8,135.0,-0.2,0.79,brecha_critica,esperada
CHIMBORAZO,470596.0,42.8,37.9,126.2,116.3,9.9,1.32,alta_cobertura,esperada
MORONA SANTIAGO,191813.0,65.4,58.6,90.2,78.5,11.7,0.38,baja_presion,esperada
CARCHI,171776.0,33.4,4.2,147.3,132.0,15.3,0.61,brecha_critica,esperada
LOJA,483773.0,39.4,3.6,167.4,121.9,45.5,1.58,alta_cobertura,negativa
EL ORO,712260.0,36.6,0.5,199.4,126.6,72.8,0.9,alta_cobertura,negativa
ESMERALDAS,550425.0,63.0,3.4,187.7,82.5,105.2,0.7,brecha_critica,negativa
GUAYAS,4376301.0,39.1,1.3,286.9,122.4,164.5,1.88,alta_cobertura,negativa
SANTA ELENA,385075.0,47.3,1.2,358.9,108.7,250.2,1.21,alta_cobertura,negativa
